nombre_archivo,url_oficial_verificada
Real_Decreto_498_2024_21_mayo_modifican_determinados.pdf,https://www.boe.es/boe/dias/2024/05/28/pdfs/BOE-A-2024-10683.pdf
Real_Decreto_499_2024_21_mayo_modifican_determinados.pdf,https://www.boe.es/boe/dias/2024/05/28/pdfs/BOE-A-2024-10684.pdf
Real_Decreto_500_2024_21_mayo_modifican_determinados.pdf,https://www.boe.es/boe/dias/2024/05/28/pdfs/BOE-A-2024-10685.pdf
Real_Decreto_62_2022_25_enero_flexibilizacion_requisitos.pdf,https://www.boe.es/boe/dias/2022/01/27/pdfs/BOE-A-2022-1274.pdf
Real_Decreto_132_2010_12_febrero_establecen_requisitos.pdf,https://www.boe.es/buscar/pdf/2010/BOE-A-2010-4132-consolidado.pdf
Real_Decreto_1558_2005_23_diciembre_regulan_requisitos.pdf,https://www.boe.es/buscar/pdf/2005/BOE-A-2005-21534-consolidado.pdf
Real_Decreto_1834_2008_8_noviembre_definen_condiciones.pdf,https://www.boe.es/buscar/pdf/2008/BOE-A-2008-19174-consolidado.pdf
Real_Decreto_665_2015_17_julio_desarrollan_determinadas.pdf,https://www.boe.es/boe/dias/2015/07/18/pdfs/BOE-A-2015-8043.pdf
Real_Decreto_860_2010_2_julio_regulan_condiciones.pdf,https://www.boe.es/buscar/pdf/2010/BOE-A-2010-11426-consolidado.pdf
Resolucion_27_septiembre_2022_Subsecretaria_resuelve_convocatoria_libre.pdf,https://www.boe.es/boe/dias/2022/10/05/pdfs/BOE-A-2022-16234.pdf
Acuerdo_8_febrero_2024_Jubilacion_Magistrado.pdf,https://www.boe.es/boe/dias/2024/05/01/pdfs/BOE-A-2024-8717.pdf
Ley_31_1995_8_noviembre_Prevencion_Riesgos_Laborales.pdf,https://www.boe.es/buscar/pdf/1995/BOE-A-1995-24292-consolidado.pdf
Orden_ISM_812_2024_26_julio_modifica_Orden.pdf,https://www.boe.es/boe/dias/2024/08/01/pdfs/BOE-A-2024-15859.pdf
Real_Decreto_1493_2011_24_octubre_regulan_terminos.pdf,https://www.boe.es/buscar/pdf/2011/BOE-A-2011-16819-consolidado.pdf
Real_Decreto_39_1997_17_enero_aprueba_Reglamento.pdf,https://www.boe.es/buscar/pdf/1997/BOE-A-1997-1853-consolidado.pdf
Real_Decreto_Legislativo_8_2015_30_octubre_aprueba.pdf,https://www.boe.es/buscar/pdf/2015/BOE-A-2015-11724-consolidado.pdf
Real_Decreto_ley_2_2023_16_marzo_medidas_urgentes.pdf,https://www.boe.es/buscar/pdf/2023/BOE-A-2023-6967-consolidado.pdf
Acuerdo_1_2025_Luto_Oficial_Castilla_y_Leon.pdf,https://bocyl.jcyl.es/boletines/2025/04/01/pdf/BOCYL-D-01042025-1.pdf
DECRETO_24_2024_21_noviembre_establece_curriculo_ciclos.pdf,https://bocyl.jcyl.es/boletines/2024/11/25/pdf/BOCYL-D-25112024-2.pdf
DECRETO_25_2024_21_noviembre_establece_curriculo_ciclos.pdf,https://bocyl.jcyl.es/boletines/2024/11/25/pdf/BOCYL-D-25112024-3.pdf
DECRETO_7_2025_27_marzo_establece_curriculo_cursos.pdf,https://bocyl.jcyl.es/boletines/2025/03/31/pdf/BOCYL-D-31032025-3.pdf
ORDEN_EDU_1285_2024_26_noviembre_establece_curriculo.pdf,https://bocyl.jcyl.es/boletines/2024/12/02/pdf/BOCYL-D-02122024-1.pdf
Correccion_errores_Orden_EDU_1575_2024_Evaluacion_FP.pdf,https://bocyl.jcyl.es/boletines/2025/03/10/pdf/BOCYL-D-10032025-1.pdf
ORDEN_EDU_1103_2014_17_diciembre_regula_proceso.pdf,https://bocyl.jcyl.es/boletines/2014/12/22/pdf/BOCYL-D-22122014-2.pdf
ORDEN_EDU_2169_2008_15_diciembre_regula_proceso.pdf,https://bocyl.jcyl.es/boletines/2008/12/17/pdf/BOCYL-D-17122008-1.pdf
DECRETO_2_2017_12_enero_regula_Formacion_Profesional.pdf,https://bocyl.jcyl.es/boletines/2017/01/16/pdf/BOCYL-D-16012017-2.pdf
ORDEN_EDU_1205_2010_25_agosto_regula_desarrollo.pdf,https://bocyl.jcyl.es/boletines/2010/09/01/pdf/BOCYL-D-01092010-3.pdf
ORDEN_EDU_173_2025_20_febrero_desarrolla_formacion.pdf,https://bocyl.jcyl.es/boletines/2025/03/03/pdf/BOCYL-D-03032025-1.pdf
ORDEN_EDU_398_2017_24_mayo_desarrolla_Decreto.pdf,https://bocyl.jcyl.es/boletines/2017/06/02/pdf/BOCYL-D-02062017-2.pdf
ORDEN_EDU_679_2016_25_julio_regula_Catalogo.pdf,https://bocyl.jcyl.es/boletines/2016/08/04/pdf/BOCYL-D-04082016-1.pdf
Correccion_errores_Orden_EDU_411_2025_Optatividad_FP.pdf,https://bocyl.jcyl.es/boletines/2025/05/09/pdf/BOCYL-D-09052025-1.pdf
ORDEN_EDU_411_2025_15_abril_concreta_optatividad.pdf,https://bocyl.jcyl.es/boletines/2025/04/28/pdf/BOCYL-D-28042025-3.pdf
ORDEN_EDU_414_2025_21_abril_delega_direcciones.pdf,https://bocyl.jcyl.es/boletines/2025/04/29/pdf/BOCYL-D-29042025-11.pdf
ORDEN_EDU_1188_2025_22_octubre_regula_formacion.pdf,https://bocyl.jcyl.es/boletines/2025/11/03/pdf/BOCYL-D-03112025-2.pdf
ORDEN_EDU_556_2016_15_junio_regula_oferta.pdf,https://bocyl.jcyl.es/boletines/2016/06/23/pdf/BOCYL-D-23062016-2.pdf
ORDEN_EDU_588_2024_11_junio_regulan_modalidades.pdf,https://bocyl.jcyl.es/boletines/2024/06/19/pdf/BOCYL-D-19062024-1.pdf
ORDEN_EDU_922_2010_24_junio_regula_formacion.pdf,https://bocyl.jcyl.es/boletines/2010/07/02/pdf/BOCYL-D-02072010-2.pdf
ORDEN_EDU_187_2026_25_febrero_convocan_pruebas.pdf,https://bocyl.jcyl.es/boletines/2026/03/03/pdf/BOCYL-D-03032026-42.pdf
ORDEN_EDU_348_2026_10_abril_convocan_pruebas.pdf,https://bocyl.jcyl.es/boletines/2026/04/16/pdf/BOCYL-D-16042026-72.pdf
ORDEN_EDU_464_2024_10_mayo_modifica_Orden.pdf,https://bocyl.jcyl.es/boletines/2024/05/24/pdf/BOCYL-D-24052024-1.pdf
ORDEN_EDU_527_2025_16_mayo_aprueba_calendario.pdf,https://bocyl.jcyl.es/boletines/2025/05/29/pdf/BOCYL-D-29052025-27.pdf
ORDEN_EDU_602_2022_31_mayo_regula_admision.pdf,https://bocyl.jcyl.es/boletines/2022/06/07/pdf/BOCYL-D-07062022-1.pdf
RESOLUCION_10_abril_2025_Direccion_General_Formacion_Profesional.pdf,https://bocyl.jcyl.es/boletines/2025/04/24/pdf/BOCYL-D-24042025-23.pdf
RESOLUCION_18_agosto_2025_Direccion_General_Formacion_Profesional.pdf,https://bocyl.jcyl.es/boletines/2025/08/21/pdf/BOCYL-D-21082025-18.pdf
DECRETO_51_2007_17_mayo_regulan_derechos_deberes.pdf,https://bocyl.jcyl.es/boletines/2007/05/23/pdf/BOCYL-D-23052007-6.pdf
DECRETO_5_2018_8_marzo_establece_modelo_orientacion.pdf,https://bocyl.jcyl.es/boletines/2018/03/12/pdf/BOCYL-D-12032018-2.pdf
ORDEN_EDU_1054_2012_5_diciembre_regula_organizacion.pdf,https://bocyl.jcyl.es/boletines/2012/12/17/pdf/BOCYL-D-17122012-1.pdf
ORDEN_EDU_1152_2010_3_agosto_regula_respuesta.pdf,https://bocyl.jcyl.es/boletines/2010/08/13/pdf/BOCYL-D-13082010-1.pdf
ORDEN_EDU_522_2017_22_junio_establecen_equipos.pdf,https://bocyl.jcyl.es/boletines/2017/07/03/pdf/BOCYL-D-03072017-20.pdf
ORDEN_EDU_543_2016_13_junio_determinan_medidas.pdf,https://bocyl.jcyl.es/boletines/2016/06/21/pdf/BOCYL-D-21062016-21.pdf
DECRETO_23_2014_12_junio_establece_marco_gobierno.pdf,https://bocyl.jcyl.es/boletines/2014/06/13/pdf/BOCYL-D-13062014-2.pdf
DECRETO_49_2010_18_noviembre_regula_organizacion_funcionamiento.pdf,https://bocyl.jcyl.es/boletines/2010/11/24/pdf/BOCYL-D-24112010-1.pdf
ORDEN_EDU_1051_2016_12_diciembre_regula_organizacion.pdf,https://bocyl.jcyl.es/boletines/2016/12/21/pdf/BOCYL-D-21122016-2.pdf
ORDEN_EDU_1051_2025_18_septiembre_convoca_procedimiento.pdf,https://bocyl.jcyl.es/boletines/2025/09/30/pdf/BOCYL-D-30092025-18.pdf
ORDEN_EDU_390_2024_24_abril_regula_programa.pdf,https://bocyl.jcyl.es/boletines/2024/05/09/pdf/BOCYL-D-09052024-1.pdf
ORDEN_EDU_600_2018_1_junio_regula_procedimiento.pdf,https://bocyl.jcyl.es/boletines/2018/06/12/pdf/BOCYL-D-12062018-1.pdf
ORDEN_EDU_834_2015_2_octubre_regula_proyecto.pdf,https://bocyl.jcyl.es/boletines/2015/10/14/pdf/BOCYL-D-14102015-2.pdf
Correccion_errores_Orden_EDU_104_2017_Premios_FP.pdf,https://bocyl.jcyl.es/boletines/2018/02/12/pdf/BOCYL-D-12022018-8.pdf
ORDEN_EDU_104_2017_1_febrero_regulan_Premios.pdf,https://bocyl.jcyl.es/boletines/2018/02/07/pdf/BOCYL-D-07022018-3.pdf
ORDEN_EDU_1233_2018_15_noviembre_modifica_Orden.pdf,https://bocyl.jcyl.es/boletines/2018/11/23/pdf/BOCYL-D-23112018-9.pdf
ORDEN_EDU_179_2017_10_marzo_regulan_premios.pdf,https://bocyl.jcyl.es/boletines/2017/03/15/pdf/BOCYL-D-15032017-1.pdf
ORDEN_EDU_228_2026_5_marzo_convoca_seleccion.pdf,https://bocyl.jcyl.es/boletines/2026/03/11/pdf/BOCYL-D-11032026-48.pdf
